HUC10,HUC10_Name
109000504,Frontal Block Island Sound
109000302,Lower Blackstone River
109000503,Lower Pawcatuck River
109000408,Lower Taunton River-Frontal Mount Hope Bay
109000402,Middle Taunton River
109000409,Narragansett Bay
109000407,Palmer River
109000406,Pawtuxet River
109000404,Ten Mile River
109000403,Threemile River
109000301,Upper Blackstone River
109000502,Upper Pawcatuck River
109000401,Upper Taunton River
109000501,Wood River
109000405,Woonasquatucket River-Moshassuck River
110000303,Part of Southeast Coastal-Pawcatuck River to Eastern Point
999999,No HUC10
